title,word1,word2,word3,original,ad,img
Gossip Girl,soapy,teen,drama,no,yes,gossip_girl
Money Heist,exciting,suspenseful,thriller,yes,yes,money_heist
Lucifer,slick,irreverent,exciting,yes,yes,lucifer
The Stranger,slow burn,suspenseful,mystery,yes,yes,the_stranger
Shameless,raunchy,irreverent,dramedy,no,yes,shameless
Ozark,ominous,slow burn,dark,yes,yes,ozark
Virgin River,heartfelt,intimate,emotional,yes,yes,virgin_river
Mr. Right,quirky,forceful,exciting,no,yes,
Legacies,campy,slick,fantasy tv,no,yes,
Grey's Anatomy,soapy,emotional,romantic,no,yes,
That 70's Show,goofy,sitcom,comedy,no,yes,
I am not okay with this,cynical,irreverent,dark comedy,yes,yes,
Derry Girls,witty,quirky,irreverent,yes,yes,
Unorthodox,intimate,emotional,drama,yes,yes,
All American,inspiring,teen,drama,no,yes,
Feel Good,witty,irreverent,intimate,yes,yes,
"Anne with an ""E""",heartfelt,emotional,teen,yes,yes,
Kim's Convenience,sitcom,comedy,ensemble,no,yes,
Hop,children & family,comedy,animals,no,yes,
Arrested Development,deadpan,witty,quirky,no,yes,
Tiger King,riveting,provocative,investigative,yes,yes,
Taylor Tomlinson Quarter-Lie Crisis,witty,irreverent,stand-up,yes,yes,
Young & Hungry,sitcom,comedy,opposites-attract,no,yes,
100 Humans,provocative,witty,quirky,yes,yes,
Good Girls,witty,irreverent,suspenseful,no,yes,
the Big Show show,feel-good,goofy,sitcom,yes,yes,
Locke & Key,mind-bending,witty,irreverent,yes,yes,
Life As We Know It,heartfelt,romantic,dramedy,no,yes,
Love is Blind,romantic,reality tv,wedding & romances,yes,yes,
Once Upon a Time,exciting,fantasy tv,drama,no,yes,
The Perks of Being a Wallflower,heartfelt,dramedy,hidden gem,no,yes,
The Invention of Lying,irreverent,romantic,comedy,no,yes,
Parks & Recreation,witty,quirky,goofy,no,yes,
Merlin,exciting,suspenseful,fantasy tv,no,yes,
Royal Pains,dramedy,comedy,drama,no,yes,
Love Wedding Repeat,heartfelt,witty,romantic,yes,yes,
The Circle,scandalous,soapy,reality tv,yes,yes,
Community,witty,irreverent,sitcom,no,yes,
The Great British Baking Show,relaxing,feel-good,reality tv,yes,yes,
Altered Carbon,mind-bending,dystopian,violent,yes,yes,
Code 8,dystopian,gritty,exciting,no,yes,
Outer Banks,soapy,exciting,teen,yes,yes,
Brews Brothers,raunchy,irreverent,sitcom,yes,yes,
Nailed It!,quirky,reality tv,competition,yes,yes,
#blackAF,slick,witty,irreverent,yes,no,
Boss Baby Back in Business,exciting,comedy,kids,yes,no,
On My Block,witty,emotional,romantic,yes,no,
The Office,witty,irreverent,sitcom,no,no,
Stranger Things,ominous,scary,exciting,yes,no,
The Secret Life of Pets 2,goofy,children & family,comedy,no,no,
The Vampire Diaries,ominous,suspenseful,fantasy tv,no,no,
Criminal Minds,forceful,dark,suspenseful,no,no,
Miracle in Cell No. 7,rousing,emotional,social issue drama,no,no,
Spenser Confidential,forceful,exciting,film noir,yes,no,
Miraculous Tales of Ladybug & Cat Noir,exciting,superhero,kids,no,no,
Breaking Bad,violent,slow burn,gritty,no,no,
Elite,soapy,slow burn,suspenseful,yes,no,
The Flash,slick,exciting,superhero,no,no,
Fuller House,heartfelt,sitcom,comedy,yes,no,
Schitt's Creek,witty,irreverent,sitcom,no,no,
Victorious,feel-good,sitcom,comedy,no,no,
The King: Eternal Monarch,emotional,romantic,fantasy tv,yes,no,
Too Hot to Handle,scandalous,soapy,intimate,yes,no,
The Witcher,lavish,exciting,fantasy tv,yes,no,
The 100,dystopian,violent,sci-fi tv,no,no,
Locked Up,violent,slow burn,gritty,yes,no,
Crash Landing On You,heartfelt,romantic,dramedy,yes,no,
6 Underground,slick,exciting,action thriller,yes,no,
The Seven Deadly Sins,exciting,fantasy anime,action anime,yes,no,
Bunk'd,goofy,sitcom,comedy,no,no,
The Angry Birds Movie 2,children & family,comedy,animals,no,no,
Naruto,goofy,exciting,fantasy anime,no,no,
The Crown,lavish,intimate,drama,yes,no,
Angel has Fallen,violent,forceful,exciting,no,no,
Grace and Frankie,heartfelt,witty,quirky,yes,no,
Itaewon Class,inspiring,emotional,drama,yes,no,
"Hi Bye, Mama!",heartfelt,emotional,romantic,yes,no,
El señor de los Cielos,soapy,telenovela,soap opera,no,no,
Sex Education,heartfelt,raunchy,irreverent,yes,no,
Sacred Games,slow burn,gritty,dark,yes,no,
Hospital Playlist,heartfelt,dramedy,comedy,yes,no,
Riverdale,offbeat,emotional,dark,no,no,
Kingdom,gruesome,violent,exciting,yes,no,
"Pablo Escobar, el patrón del mal",soapy,gritty,telenovela,no,no,
Sam & Cat,feel-good,comedy,kids,no,no,
Legacies,campy,slick,fantasy tv,no,no,
Masha and the Bear,feel-good,goofy,kids,no,no,
Jamtara - Sabka Number Ayega,ominous,slow burn,gritty,yes,no,
Barbie dreamhouse adventures,feel-good,kids,girl power,no,no,
Trolls The Beat Goes On,goofy,comedy,kids,yes,no,
El Chapo,forceful,action,thriller,no,no,
Pokémon the Series: Sun and Moon,exciting,action anime,kids,no,no,
Despicable Me,goofy,children & family,comedy,no,no,
The Innocence Files,investigative,emotional,true crime,yes,no,
Chris D'Elia: No Pain,cynical,irreverent,goofy,yes,no,
The Irishman,slow burn,forceful,gritty,yes,no,
The Ranch,irreverent,emotional,dramedy,yes,no,
You,slick,psychological,dark,yes,no,
The Trials of Gabriel Fernandez,investigative,emotional,true crime,yes,no,
A Fall from Grace,unsettling,ominous,slow burn,yes,no,
Unorthodox,intimate,emotional,drama,yes,no,
Black Lightning,forceful,gritty,exciting,no,no,
Murder Mystery,irreverent,goofy,exciting,yes,no,
Supernatural,ominous,scary,dark,no,no,
Self Made,feel-good,inspiring,emotional,yes,no,
Arrow,forceful,exciting,superhero,no,no,
Better Call Saul,offbeat,gritty,drama,no,no,
Longmire,slow burn,understated,dark,yes,no,
Narcos,gritty,exciting,dark,yes,no,
Outlander,lavish,intimate,exciting,no,no,
Orange is the New Black,deadpan,witty,irreverent,yes,no,
Blacklist,psychological,exciting,thriller,no,no,
Peaky Blinders,violent,forceful,period piece,yes,no,
Designated Survivor,slick,exciting,suspenseful,yes,no,
NCIS,rousing,exciting,mystery,no,no,
Raising Dion,heartfelt,exciting,action,yes,no,
Jane the Virgin,soapy,campy,quirky,no,no,
Greenhouse Academy,teen,drama,kids,yes,no,
The Last Kingdom,violent,gritty,exciting,yes,no,
Narcos Mexico,forceful,gritty,exciting,yes,no,
Spirit Riding Free,feel-good,exciting,western,yes,no,
Our Planet,relaxing,captivating,inspiring,yes,no,
Chip and Potato,feel-good,kids music,girl power,yes,no,
Jim Hensen's Word Party,feel-good,educational,kids,yes,no,
Pokémon Mewtwo Strikes Back,exciting,anime feature,children & family,yes,no,
Mako Mermaids,kids,girl power,myths & legends,yes,no,
Fauda,forceful,gritty,action,yes,no,
Spiderman Into the Spiderverse,slick,exciting,suspenseful,no,no,
Incredibles 2,exciting,action comedy,children & family,no,no,
The Grinch,goofy,children & family,comedy,no,no,
Hotel Transylvania 3,magical,goofy,children & family,no,no,
Ralph Breaks the Internet,feel-good,exciting,children & family,no,no,
How High 2,absurd,irreverent,goofy,no,no,
Coffee & Kareem,absurd,irreverent,exciting,yes,no,
The Main Event,heartfelt,feel-good,comedy,yes,no,
Tall Girl,heartfelt,feel-good,inspiring,yes,no,
To All the Boys: PS I Still Love You,feel-good,romantic,comedy,yes,no,
Step Brothers,slapstick,raunchy,irreverent,no,no,
The Croods,exciting,children & family,comedy,no,no,
Bad Boys II,exciting,action comedy,action thriller,no,no,
The Hangover,absurd,raunchy,irreverent,no,no,
Sextuplets,slapstick,raunchy,goofy,yes,no,
The Kissing Booth,quirky,romantic,comedy,yes,no,
The Other Guys,forceful,goofy,satire,no,no,
Love Wedding Repeat,heartfelt,witty,romantic,yes,no,
Space Jam,children & family,comedy,basketball,no,no,
Trolls Holiday,feel-good,kids music,musical,no,no,
To All the Boys I've Loved Before,feel-good,intimate,romantic,yes,no,
Antman and the Wasp,forceful,exciting,superhero,no,no,
Woody Woodpecker,slapstick,goofy,children & family,no,no,
Good Burger,goofy,children & family,comedy,no,no,
Falling Inn Love,feel-good,romantic,comedy,yes,no,
Bee Movie,children & family,comedy,animals,no,no,
Bad Boys,slick,forceful,exciting,no,no,
A Haunted House,raunchy,irreverent,goofy,no,no,
Goosebumps 2,magical,exciting,children & family,no,no,
The Cat in the Hat,children & family,comedy,animals,no,no,
Turbo,witty,exciting,children & family,no,no,
Kung Fu Panda 2,exciting,action comedy,martial arts,no,no,
How to Be a Latin Lover,raunchy,feel-good,goofy,no,no,
Richie Rich,feel-good,goofy,children & family,no,no,
PJ Masks,exciting,superhero,kids,no,no,
Avengers: Infinity War,slick,rousing,forceful,no,no,
Triple Frontier,gritty,exciting,suspenseful,yes,no,
Outbreak,forceful,dark,suspenseful,no,no,
After,soapy,intimate,romantic,no,no,
Bird Box,ominous,chilling,psychological,yes,no,
The Karate Kid,heartfelt,inspiring,exciting,no,no,
The Two Popes,heartfelt,witty,cerebral,yes,no,
A Champion Heart,children & family,drama,girl power,no,no,
The Highwaymen,forceful,gritty,dark,yes,no,